job_id,job_title,salary_usd,salary_currency,experience_level,employment_type,company_location,company_size,employee_residence,remote_ratio,required_skills,education_required,years_experience,industry,posting_date,application_deadline,job_description_length,benefits_score,company_name
AI00012,AI Architect,115047,,EX,CT,,,South Korea,0,"R, Data Visualization, Python, Azure",Master,15,Manufacturing,2024-07-16,19-08-2024,513,6.8,
AI00013,AI Consultant,124355,,SE,CT,,,France,100,"Tableau, Python, TensorFlow",PhD,5,Automotive,2024-12-29,27-01-2025,760,5.2,
AI00014,Autonomous Systems Engineer,68760,,EN,CT,,,Norway,0,"Scala, SQL, Statistics",Master,0,Energy,2024-11-02,25-02-2024,1657,9.1,
AI00015,AI Research Scientist,150122,,SE,FT,,,Sweden,100,"PyTorch, Python, Data Visualization, GCP",Associate,6,Technology,2024-02-10,26-11-2024,1466,9.8,
AI00016,AI Product Manager,78846,,EN,PT,,,Israel,0,"Linux, Statistics, Deep Learning",PhD,0,Consulting,2024-09-28,26-10-2024,2059,9.6,
AI00017,Principal Data Scientist,59823,,EN,FT,,,India,100,"Tableau, NLP, Spark",Bachelor,1,Real Estate,2025-06-02,26-03-2025,1200,5.8,
AI00018,Machine Learning Engineer,181139,,EX,CT,,,France,100,"MLOps, PyTorch, Azure",Associate,15,Real Estate,2024-04-24,03-06-2024,2142,8.7,
AI00019,Data Engineer,155300,,SE,CT,,,Singapore,0,"Git, Hadoop, R, Python, Spark",Associate,9,Finance,2024-04-30,29-05-2024,589,8.6,
AI00020,Research Scientist,93851,,MI,PT,,,Germany,100,"Java, Scala, NLP, Docker, Computer Vision",PhD,4,Transportation,2024-01-05,02-07-2024,1809,6.7,
AI00021,Data Engineer,134197,,MI,FT,,,France,0,"Deep Learning, AWS, Azure",Bachelor,3,Telecommunications,2024-06-21,28-08-2024,969,9.6,
AI00022,Autonomous Systems Engineer,102550,,MI,PT,,,United States,0,"Tableau, Spark, NLP, TensorFlow, PyTorch",Bachelor,2,Automotive,2024-04-23,23-06-2024,625,10.0,
AI00023,ML Ops Engineer,99382,,SE,CT,,,Germany,0,"Hadoop, Git, Tableau",PhD,7,Automotive,2025-03-13,11-05-2025,1629,6.9,
AI00024,AI Product Manager,52167,,MI,FT,,,Ireland,100,"Git, Hadoop, Docker",Master,4,Telecommunications,2024-07-06,24-06-2024,2298,9.3,
AI00025,ML Ops Engineer,53923,,MI,FT,,,China,0,"AWS, Azure, Git, SQL, Computer Vision",Bachelor,2,Healthcare,2024-10-27,18-11-2024,1006,7.4,
AI00026,Robotics Engineer,109779,,SE,PT,,,Israel,100,"Linux, Git, Tableau, Kubernetes, Data Visualization",PhD,6,Government,2024-01-08,02-10-2024,1146,8.8,
AI00027,ML Ops Engineer,80979,,MI,CT,,,India,50,"Hadoop, Linux, Git, Scala",Master,2,Media,2024-11-18,18-01-2025,2109,7.7,
AI00028,Data Analyst,52997,,MI,PT,,,Singapore,0,"Mathematics, Kubernetes, TensorFlow, Tableau, PyTorch",PhD,2,Government,2025-10-01,20-02-2025,2101,8.6,
AI00029,Head of AI,42819,,EN,CT,,,Ireland,50,"Python, Scala, NLP, Mathematics, Git",PhD,0,Healthcare,2024-08-10,20-11-2024,2187,8.6,
AI00030,ML Ops Engineer,82083,,MI,CT,,,Israel,100,"Azure, Python, Computer Vision, Kubernetes, TensorFlow",Master,2,Retail,2024-01-18,25-02-2024,1212,6.3,
AI00031,Head of AI,67488,,EN,FT,,,Netherlands,100,"Deep Learning, GCP, AWS, Linux, Tableau",Master,1,Retail,2024-05-16,26-07-2024,887,6.0,
AI00032,Research Scientist,68624,,EN,FT,,,Denmark,0,"Azure, Python, Spark",Master,1,Real Estate,2024-01-31,08-03-2024,1910,9.2,
AI00033,Robotics Engineer,146852,,SE,FT,,,Switzerland,50,"NLP, Scala, Python",PhD,7,Real Estate,2024-08-28,20-09-2024,684,5.3,
AI00034,ML Ops Engineer,178183,,EX,FL,,,Finland,0,"Tableau, Azure, GCP, Linux, Python",Associate,16,Education,2024-01-03,19-03-2024,1850,5.7,
AI00035,Deep Learning Engineer,150864,,SE,FL,,,Singapore,0,"R, GCP, MLOps, Linux",PhD,8,Consulting,2024-10-26,25-12-2024,1504,7.9,
AI00036,Head of AI,126942,,EX,CT,,,Netherlands,0,"Git, Hadoop, Data Visualization",Associate,10,Finance,2024-01-31,26-02-2024,1261,9.9,
AI00037,AI Architect,53752,,MI,PT,,,Japan,100,"Data Visualization, Tableau, AWS, Mathematics, Python",Associate,2,Telecommunications,2024-10-17,12-11-2024,998,6.1,
AI00038,Robotics Engineer,111381,,EX,CT,,,Israel,0,"Linux, PyTorch, SQL, Statistics",Master,18,Government,2024-01-14,12-03-2024,1030,8.1,
AI00039,AI Specialist,41430,,EN,PT,,,China,50,"Tableau, Docker, GCP",Bachelor,1,Healthcare,2024-06-15,29-07-2024,2323,8.0,
AI00040,Data Engineer,166080,,EX,FL,,,Netherlands,100,"Computer Vision, Azure, Tableau",Associate,15,Government,2024-01-03,01-05-2024,831,5.1,
AI00041,Data Scientist,96956,,MI,FT,,,China,0,"Data Visualization, Azure, Spark, MLOps",Bachelor,2,Telecommunications,2024-02-24,09-03-2024,761,5.3,
AI00042,AI Architect,196954,,SE,FL,,,United States,50,"Java, Mathematics, SQL",Bachelor,8,Finance,2025-03-17,16-04-2025,2290,7.5,
AI00043,AI Specialist,56745,,EN,PT,,,Finland,100,"Spark, Mathematics, GCP",Associate,1,Telecommunications,2025-01-02,11-04-2025,502,5.5,
AI00044,Machine Learning Researcher,113455,,SE,FT,,,Singapore,50,"Hadoop, Docker, Python, Azure",Associate,8,Retail,2024-04-24,12-06-2024,1281,8.0,
AI00045,ML Ops Engineer,158808,,SE,PT,,,Netherlands,50,"Docker, R, Linux",Bachelor,5,Media,2025-03-03,03-05-2025,1926,7.4,
AI00046,AI Research Scientist,174663,,SE,CT,,,Singapore,50,"Data Visualization, Statistics, R",Associate,7,Media,2024-10-01,22-03-2024,1151,5.4,
AI00047,AI Research Scientist,46753,,EN,CT,,,India,50,"Scala, Java, Tableau",PhD,1,Manufacturing,2024-11-16,18-12-2024,2012,9.7,
AI00048,AI Software Engineer,69020,,MI,FL,,,China,0,"Java, Azure, GCP",Bachelor,4,Energy,2024-05-09,25-10-2024,1584,8.8,
AI00049,AI Specialist,288815,,EX,PT,,,Switzerland,0,"Deep Learning, Git, Data Visualization, Linux, Java",Bachelor,12,Manufacturing,2024-08-08,23-09-2024,1930,7.2,
AI00050,AI Consultant,124871,,EX,FL,,,Finland,50,"Hadoop, AWS, Linux, Docker, Statistics",PhD,19,Media,2025-10-03,17-05-2025,1556,8.0,
AI00051,AI Architect,70391,,MI,FT,,,Germany,0,"Deep Learning, SQL, Mathematics",PhD,4,Government,2024-08-16,19-10-2024,1974,9.2,
AI00052,Research Scientist,115376,,EX,FT,,,India,100,"Linux, R, Azure, Mathematics, Git",Master,17,Technology,2024-12-03,14-04-2024,2028,5.5,
AI00053,Research Scientist,106579,,MI,PT,,,United States,100,"Docker, Tableau, Mathematics",Associate,3,Gaming,2024-02-24,02-05-2024,2028,5.4,
AI00054,Data Scientist,135230,,SE,PT,,,Norway,100,"R, PyTorch, Kubernetes, Computer Vision",PhD,8,Consulting,2024-07-07,09-09-2024,1219,7.5,
AI00055,Research Scientist,67607,,MI,PT,,,Israel,50,"Python, Tableau, TensorFlow, AWS",Master,4,Media,2024-05-08,26-08-2024,1714,8.6,
AI00056,AI Architect,88470,,MI,PT,,,Canada,0,"Azure, Kubernetes, TensorFlow, Statistics, Spark",Associate,3,Real Estate,2024-07-29,27-09-2024,1528,9.1,
AI00057,Autonomous Systems Engineer,79863,,MI,FL,,,India,100,"Python, Docker, GCP, Scala",Associate,4,Automotive,2024-09-28,26-10-2024,1325,5.6,
AI00058,Machine Learning Engineer,60299,,EN,PT,,,Israel,100,"Git, Linux, Python, TensorFlow, Mathematics",PhD,0,Finance,2025-03-22,01-05-2025,1872,6.6,
AI00059,Machine Learning Engineer,85645,,MI,FT,,,Germany,0,"PyTorch, Computer Vision, R",Associate,4,Transportation,2024-09-02,06-03-2024,793,7.9,
AI00060,AI Software Engineer,110222,,SE,FL,,,France,0,"R, Spark, AWS",Associate,8,Media,2024-03-20,05-05-2024,1945,9.0,
AI00061,Data Scientist,49365,,EN,FT,,,China,0,"Tableau, NLP, Azure, Statistics, PyTorch",Associate,1,Finance,2024-06-22,14-08-2024,1907,10.0,
AI00062,Data Scientist,162296,,SE,PT,,,Norway,50,"TensorFlow, Azure, Computer Vision, Data Visualization",Bachelor,6,Finance,2024-05-06,01-07-2024,1714,6.2,
AI00063,AI Consultant,102382,,MI,PT,,,Switzerland,0,"TensorFlow, Scala, Docker, Statistics",PhD,3,Education,2024-03-23,03-06-2024,2199,5.8,
AI00064,AI Software Engineer,99972,,MI,PT,,,Canada,50,"Java, R, Deep Learning, NLP, Azure",PhD,4,Technology,2024-02-20,15-03-2024,799,6.5,
AI00065,Data Engineer,64129,,EN,CT,,,South Korea,0,"Java, Git, Deep Learning",Bachelor,0,Manufacturing,2024-12-15,11-02-2025,909,7.1,
AI00066,AI Specialist,87938,,SE,FT,,,Ireland,100,"Mathematics, Spark, Python, AWS",PhD,8,Education,2024-12-15,12-02-2025,508,8.1,
AI00067,Autonomous Systems Engineer,71405,,MI,FL,,,Israel,0,"SQL, Java, MLOps, Linux, PyTorch",Associate,4,Retail,2024-01-09,29-10-2024,1153,9.5,
AI00068,Machine Learning Engineer,316182,,EX,PT,,,Canada,0,"Python, Scala, Statistics, Git",Associate,12,Finance,2025-09-02,23-02-2025,2452,7.0,
AI00069,Machine Learning Researcher,72459,,EN,PT,,,Germany,100,"Hadoop, Python, Kubernetes, Azure",Bachelor,0,Gaming,2024-08-30,15-09-2024,583,9.6,
AI00070,Principal Data Scientist,78338,,MI,FT,,,France,100,"MLOps, Kubernetes, Git, Python",Associate,3,Technology,2024-10-31,15-12-2024,548,8.7,
AI00071,NLP Engineer,51907,,MI,FL,,,Singapore,100,"AWS, Kubernetes, Azure",Bachelor,4,Healthcare,2024-02-14,02-04-2024,912,8.2,
AI00072,Autonomous Systems Engineer,122831,,SE,FL,,,France,100,"PyTorch, Kubernetes, Git, SQL",Master,7,Real Estate,2024-05-31,19-06-2024,761,8.4,
AI00073,Machine Learning Researcher,124820,,MI,FL,,,Norway,50,"NLP, Azure, Statistics, Spark, Mathematics",Associate,3,Real Estate,2024-02-08,01-10-2024,2077,9.9,
AI00074,Autonomous Systems Engineer,134200,,SE,PT,,,United Kingdom,50,"Linux, R, Tableau",PhD,9,Retail,2024-11-29,09-01-2025,2396,7.8,
AI00075,Data Engineer,51920,,EN,PT,,,Finland,100,"Scala, R, Tableau, Data Visualization",PhD,0,Consulting,2025-08-04,13-05-2025,1778,7.9,
AI00076,Data Engineer,56427,,EN,FL,,,Singapore,100,"Mathematics, Kubernetes, Spark",Master,0,Energy,2024-11-16,25-01-2025,1366,5.2,
AI00077,AI Product Manager,213783,,EX,FT,,,Canada,100,"Kubernetes, Spark, Statistics, Scala",Bachelor,16,Energy,2024-09-19,06-10-2024,2383,9.2,
AI00078,ML Ops Engineer,59728,,MI,FL,,,Israel,50,"MLOps, SQL, Statistics",Associate,2,Finance,2024-10-06,13-08-2024,1350,7.5,
AI00079,Computer Vision Engineer,119432,,SE,CT,,,India,0,"Scala, MLOps, NLP",PhD,6,Technology,2024-04-20,08-06-2024,1008,6.3,
AI00080,AI Research Scientist,284486,,EX,CT,,,United States,0,"PyTorch, Linux, SQL",Master,12,Consulting,2025-02-13,10-03-2025,2231,7.0,
AI00081,Data Analyst,157597,,EX,CT,,,France,50,"Git, Kubernetes, TensorFlow, R, Java",Bachelor,17,Manufacturing,2024-08-31,15-09-2024,639,8.4,
AI00082,ML Ops Engineer,196942,,EX,CT,,,Australia,100,"R, Tableau, SQL, MLOps, Docker",Master,19,Gaming,2024-01-04,16-04-2024,826,7.5,
AI00083,Machine Learning Researcher,207548,,EX,CT,,,Canada,0,"NLP, Azure, Spark, Data Visualization",PhD,10,Energy,2024-05-02,11-03-2024,2292,6.7,
AI00084,NLP Engineer,68838,,MI,FL,,,Sweden,50,"Java, SQL, Spark, Tableau, Azure",PhD,3,Automotive,2024-06-20,12-08-2024,804,7.4,
AI00085,ML Ops Engineer,125666,,EX,FL,,,Finland,100,"Docker, Python, Git, Kubernetes, Java",PhD,13,Telecommunications,2024-06-19,22-08-2024,757,8.4,
AI00086,NLP Engineer,73174,,EN,FT,,,Denmark,50,"Git, MLOps, Hadoop, Python, Spark",Associate,0,Finance,2024-07-14,08-09-2024,678,6.4,
AI00087,Autonomous Systems Engineer,33314,,EN,CT,,,India,50,"SQL, Kubernetes, Docker",Bachelor,0,Manufacturing,2025-04-16,15-06-2025,1207,8.3,
AI00088,AI Specialist,69914,,EN,FT,,,United States,100,"R, NLP, SQL, GCP",Associate,0,Transportation,2025-02-15,15-04-2025,1517,7.0,
AI00089,Principal Data Scientist,152118,,EX,FL,,,France,50,"Spark, SQL, Python, Mathematics, Linux",Master,11,Automotive,2024-05-20,14-07-2024,1294,6.9,
AI00090,AI Software Engineer,78014,,EN,CT,,,France,50,"PyTorch, Hadoop, Scala, Computer Vision",PhD,0,Real Estate,2024-11-19,07-12-2024,841,6.8,
AI00091,Research Scientist,48466,,EN,PT,,,Canada,100,"Hadoop, Spark, Kubernetes, Python",Bachelor,0,Automotive,2025-10-03,14-05-2025,1146,5.7,
AI00092,Data Analyst,97997,,SE,CT,,,France,50,"Hadoop, Python, TensorFlow, R, Statistics",PhD,8,Technology,2024-06-19,16-07-2024,2419,6.0,
AI00093,Principal Data Scientist,128341,,SE,FL,,,Singapore,0,"Computer Vision, PyTorch, GCP, Linux",Bachelor,9,Finance,2025-04-26,15-06-2025,2457,6.9,
AI00094,AI Research Scientist,111528,,MI,FL,,,United States,0,"Java, Hadoop, Mathematics",PhD,3,Real Estate,2024-01-03,08-05-2024,1299,9.5,
AI00095,Machine Learning Researcher,138945,,EX,PT,,,Canada,50,"Linux, R, NLP, PyTorch, Git",Master,19,Education,2024-10-07,15-09-2024,1559,8.9,
AI00096,NLP Engineer,98688,,SE,FT,,,Israel,50,"Statistics, Python, TensorFlow, PyTorch, Git",Bachelor,8,Manufacturing,2024-10-04,03-05-2024,598,8.6,
AI00097,Data Analyst,109029,,SE,FT,,,France,0,"Kubernetes, Scala, Java",Bachelor,6,Technology,2025-05-04,13-06-2025,2049,6.1,
AI00098,NLP Engineer,84797,,MI,FT,,,Canada,0,"Deep Learning, Statistics, Computer Vision, TensorFlow, Mathematics",Master,4,Real Estate,2024-04-12,03-01-2025,1909,6.2,
AI00099,Machine Learning Researcher,290199,,EX,CT,,,Denmark,50,"Python, AWS, Kubernetes, Deep Learning",Master,12,Retail,2025-12-01,07-03-2025,1137,5.6,
AI00100,AI Research Scientist,195691,,SE,CT,,,United States,0,"AWS, Kubernetes, Docker, Mathematics, MLOps",PhD,8,Transportation,2024-04-20,22-06-2024,916,8.7,
AI00101,AI Product Manager,193448,,SE,FT,,,Norway,100,"Scala, Git, Java",Associate,9,Consulting,2025-02-01,11-03-2025,579,6.6,
AI00102,AI Product Manager,138466,,EX,PT,,,Israel,100,"Azure, AWS, PyTorch, GCP, Hadoop",Associate,16,Government,2024-01-25,04-04-2024,1690,9.5,
AI00103,Data Analyst,91577,,MI,CT,,,Netherlands,100,"Spark, Mathematics, PyTorch, SQL, TensorFlow",Bachelor,3,Transportation,2024-01-27,28-02-2024,859,6.5,
AI00104,Computer Vision Engineer,92875,,MI,FT,,,Sweden,0,"SQL, Python, Deep Learning",PhD,3,Real Estate,2024-07-21,27-09-2024,701,5.3,
AI00105,Data Engineer,213287,,EX,FT,,,United Kingdom,100,"TensorFlow, GCP, PyTorch, Spark",Master,13,Healthcare,2025-03-03,03-04-2025,1102,6.3,
AI00106,NLP Engineer,62171,,MI,FT,,,Japan,0,"Git, SQL, PyTorch, Mathematics",Bachelor,2,Consulting,2024-09-15,07-11-2024,2162,8.1,
AI00107,AI Research Scientist,152658,,EX,FL,,,United Kingdom,50,"Data Visualization, PyTorch, Spark, TensorFlow",Associate,16,Automotive,2024-01-28,17-03-2024,548,9.0,
AI00108,ML Ops Engineer,95085,,MI,FT,,,Norway,100,"TensorFlow, SQL, NLP, Computer Vision, Git",Associate,2,Retail,2024-03-20,20-04-2024,2298,6.5,
AI00109,Deep Learning Engineer,86750,,MI,FL,,,France,100,"Java, R, Git, Mathematics, Spark",PhD,2,Government,2024-12-13,24-02-2025,1397,7.1,
AI00110,AI Specialist,64261,,MI,PT,,,Israel,0,"PyTorch, Docker, GCP",Master,2,Transportation,2024-04-09,10-10-2024,2385,8.8,
AI00111,Machine Learning Researcher,205357,,EX,PT,,,United States,100,"Computer Vision, Hadoop, Git, AWS",Bachelor,18,Education,2024-08-03,13-05-2024,1646,6.6,
AI00112,AI Architect,165676,,EX,CT,,,France,50,"TensorFlow, Linux, SQL, Hadoop",Associate,18,Government,2024-05-13,25-06-2024,926,7.8,
AI00113,Computer Vision Engineer,114658,,SE,CT,,,France,100,"SQL, Scala, Python",Bachelor,9,Telecommunications,2024-03-18,20-04-2024,1560,8.2,
AI00114,Data Scientist,143149,,SE,FL,,,France,50,"NLP, Computer Vision, Mathematics, Statistics, R",Master,6,Real Estate,2024-03-13,10-05-2024,1169,9.1,
AI00115,Machine Learning Researcher,116276,,SE,FL,,,Germany,50,"Azure, R, Linux, MLOps",Bachelor,7,Technology,2024-08-14,06-09-2024,608,7.9,
AI00116,NLP Engineer,61055,,EN,FL,,,Ireland,100,"R, AWS, Computer Vision, Statistics, Docker",Bachelor,0,Retail,2024-04-06,16-07-2024,1891,6.9,
AI00117,ML Ops Engineer,50303,,EN,FT,,,Austria,100,"Kubernetes, SQL, Azure, Deep Learning, Linux",Master,0,Gaming,2024-11-08,02-10-2024,2015,7.0,
AI00118,Data Analyst,65570,,SE,FL,,,Ireland,50,"PyTorch, SQL, MLOps, AWS, TensorFlow",Associate,7,Retail,2024-10-22,06-11-2024,635,9.9,
AI00119,AI Software Engineer,231078,,EX,FL,,,Singapore,50,"MLOps, R, Git, Mathematics",Bachelor,17,Consulting,2024-04-15,03-06-2024,784,7.6,
AI00120,AI Product Manager,106633,,SE,FT,,,South Korea,100,"Linux, Scala, SQL, Git",Bachelor,9,Automotive,2024-05-18,25-06-2024,1243,5.5,
AI00121,AI Specialist,121180,,SE,FL,,,Austria,0,"Git, Deep Learning, Kubernetes, Linux, GCP",Master,9,Media,2025-06-01,01-02-2025,611,7.0,
AI00122,Principal Data Scientist,64531,,EN,PT,,,Netherlands,50,"Git, SQL, Scala, Python, Computer Vision",PhD,0,Retail,2025-03-26,13-04-2025,1645,7.0,
AI00123,Machine Learning Engineer,125654,,MI,CT,,,Singapore,50,"Python, Tableau, Java",PhD,4,Automotive,2024-06-20,25-08-2024,1212,6.8,
AI00124,Machine Learning Researcher,182275,,EX,FT,,,Austria,0,"Docker, AWS, Linux, Git, Azure",PhD,14,Technology,2025-04-19,14-05-2025,2427,9.0,
AI00125,Machine Learning Researcher,117708,,MI,FL,,,Denmark,0,"PyTorch, Scala, Linux, Tableau, Deep Learning",PhD,4,Transportation,2024-02-24,17-03-2024,1912,9.3,
AI00126,Data Engineer,143246,,EX,FT,,,South Korea,0,"Docker, SQL, Kubernetes, Git, Statistics",Master,11,Healthcare,2024-12-25,24-01-2025,1426,8.4,
AI00127,AI Product Manager,203198,,SE,FT,,,Denmark,50,"Statistics, R, Python, TensorFlow",Master,5,Consulting,2024-04-12,11-01-2025,1596,7.6,
AI00128,Research Scientist,69487,,EN,CT,,,Switzerland,0,"Kubernetes, Azure, Spark, TensorFlow, Linux",Master,0,Transportation,2024-04-11,02-12-2024,1825,7.7,
AI00129,AI Product Manager,95673,,EX,FL,,,Ireland,0,"GCP, R, Azure, Deep Learning, PyTorch",Associate,17,Technology,2024-08-24,15-09-2024,1467,8.1,
AI00130,AI Software Engineer,59405,,EN,FL,,,Austria,100,"Spark, Python, Deep Learning, Linux, Java",Bachelor,1,Consulting,2025-03-18,12-04-2025,984,6.0,
AI00131,AI Specialist,131756,,SE,PT,,,Finland,0,"AWS, R, Spark",PhD,5,Technology,2024-03-08,15-10-2024,2308,7.9,
AI00132,AI Software Engineer,42835,,EN,PT,,,France,0,"Python, TensorFlow, PyTorch",Bachelor,0,Media,2025-02-03,30-03-2025,539,9.0,
AI00133,Autonomous Systems Engineer,61893,,EN,FT,,,Canada,50,"Statistics, Python, SQL",Associate,1,Consulting,2024-03-28,01-05-2024,1419,5.2,
AI00134,ML Ops Engineer,141791,,EX,CT,,,France,0,"Hadoop, Azure, Python, R",PhD,13,Media,2025-03-02,23-02-2025,2136,5.8,
AI00135,AI Product Manager,258637,,EX,PT,,,United Kingdom,50,"Computer Vision, GCP, Azure, SQL, Python",Master,11,Education,2025-01-16,15-02-2025,813,9.1,
AI00136,NLP Engineer,49485,,MI,FT,,,Finland,0,"Hadoop, Java, Data Visualization",Associate,2,Technology,2024-09-08,16-09-2024,909,7.8,
AI00137,Robotics Engineer,172916,,SE,PT,,,India,100,"Computer Vision, SQL, PyTorch, Java",Bachelor,8,Manufacturing,2024-12-29,15-01-2025,1630,7.6,
AI00138,Machine Learning Engineer,324557,,EX,FT,,,Denmark,100,"Hadoop, Python, Git, TensorFlow",PhD,11,Telecommunications,2024-06-11,24-11-2024,1209,7.3,
AI00139,AI Consultant,73894,,MI,CT,,,France,50,"PyTorch, Statistics, MLOps, Kubernetes, Computer Vision",Bachelor,4,Consulting,2024-08-08,12-09-2024,1070,5.2,
AI00140,Principal Data Scientist,122598,,SE,FT,,,India,50,"Linux, AWS, Computer Vision, Deep Learning",Associate,9,Media,2025-05-01,13-02-2025,1181,5.2,
AI00141,Data Scientist,94478,,MI,FL,,,Denmark,100,"PyTorch, TensorFlow, Hadoop, Python",PhD,4,Retail,2024-05-24,25-06-2024,506,8.4,
AI00142,Autonomous Systems Engineer,53088,,EN,PT,,,Austria,50,"GCP, Kubernetes, Computer Vision, Deep Learning, SQL",PhD,1,Finance,2025-12-04,13-06-2025,2090,9.0,
AI00143,Machine Learning Researcher,116012,,MI,FT,,,Australia,0,"SQL, MLOps, Python",Master,3,Automotive,2024-09-23,30-10-2024,657,7.9,
AI00144,Deep Learning Engineer,35593,,EN,CT,,,China,0,"Python, Hadoop, Deep Learning",Bachelor,0,Media,2024-09-03,07-04-2024,1812,6.3,
AI00145,AI Product Manager,149053,,EX,FT,,,Austria,0,"GCP, Linux, R, Hadoop",Master,17,Media,2024-11-17,26-12-2024,652,5.5,
AI00146,Principal Data Scientist,88230,,MI,FT,,,Austria,0,"TensorFlow, Git, Azure, Python",Associate,4,Education,2024-05-22,27-07-2024,1984,7.6,
AI00147,AI Research Scientist,224919,,EX,FL,,,Switzerland,100,"Kubernetes, Deep Learning, PyTorch",Associate,19,Education,2024-02-12,24-01-2025,911,5.7,
AI00148,Machine Learning Researcher,220439,,EX,PT,,,Netherlands,100,"SQL, Data Visualization, GCP, Deep Learning, MLOps",Associate,12,Manufacturing,2024-03-30,15-04-2024,1795,9.9,
AI00149,NLP Engineer,48861,,EN,PT,,,Finland,100,"GCP, Python, Computer Vision, Git",Bachelor,0,Healthcare,2024-04-07,11-08-2024,1031,8.1,
AI00150,AI Specialist,115841,,SE,FL,,,United States,0,"TensorFlow, Kubernetes, Deep Learning",PhD,7,Healthcare,2024-10-25,11-12-2024,1446,7.2,
AI00151,NLP Engineer,57266,,MI,FL,,,Ireland,0,"Computer Vision, PyTorch, Linux, TensorFlow",Bachelor,3,Media,2024-11-08,26-08-2024,1075,7.3,
AI00152,Deep Learning Engineer,66384,,MI,CT,,,Israel,0,"Git, Tableau, Hadoop, Computer Vision",Associate,2,Government,2024-04-21,24-05-2024,1421,9.1,
AI00153,Data Analyst,184637,,EX,PT,,,Sweden,100,"R, SQL, Data Visualization",Bachelor,11,Government,2024-05-23,09-07-2024,2292,5.5,
AI00154,AI Research Scientist,92445,,MI,CT,,,Finland,50,"Linux, Python, Scala, Docker",Bachelor,4,Technology,2024-10-22,24-12-2024,826,9.2,
AI00155,Machine Learning Researcher,57388,,EN,FL,,,Canada,0,"Python, GCP, TensorFlow",Associate,1,Consulting,2024-12-01,12-02-2024,1684,8.3,
AI00156,Head of AI,53374,,MI,PT,,,China,0,"Docker, Deep Learning, R",PhD,2,Government,2024-06-22,31-07-2024,2224,9.5,
AI00157,AI Research Scientist,95716,,SE,CT,,,Finland,50,"Git, Spark, Azure, Statistics",PhD,6,Media,2024-03-19,05-04-2024,1811,7.4,
AI00158,NLP Engineer,157091,,MI,FL,,,Norway,0,"Python, Java, Kubernetes, SQL, NLP",PhD,2,Transportation,2025-04-03,24-03-2025,1002,7.7,
AI00159,ML Ops Engineer,204144,,SE,FL,,,Norway,100,"Hadoop, Mathematics, Linux",PhD,8,Telecommunications,2024-12-12,03-01-2025,1663,9.5,
AI00160,AI Software Engineer,190314,,EX,CT,,,Netherlands,100,"GCP, Computer Vision, Scala, AWS, Linux",PhD,12,Government,2024-05-23,22-07-2024,521,9.9,
AI00161,Principal Data Scientist,198403,,EX,FL,,,Israel,50,"Data Visualization, SQL, Scala",Associate,15,Media,2024-03-14,21-04-2024,944,9.1,
AI00162,Research Scientist,153040,,SE,CT,,,Canada,50,"SQL, Tableau, Statistics, GCP",Bachelor,7,Manufacturing,2024-06-25,23-08-2024,1112,8.2,
AI00163,AI Software Engineer,51898,,MI,FL,,,Israel,0,"Deep Learning, Python, NLP",Associate,2,Consulting,2024-05-10,26-11-2024,721,8.9,
AI00164,AI Architect,115191,,SE,FL,,,Netherlands,0,"R, AWS, Git, Tableau",Associate,7,Education,2024-10-07,04-09-2024,2362,5.7,
